ticker,name,sector,industry,city,country,exchange
maersk,A.P. Moller-Maersk Group,Transportation,Marine,Copenhagen,Denmark,FALSE
msc,Mediterranean Shipping Company S.A.,Transportation,Marine,Geneva,Switzerland,FALSE
cosco,China COSCO,Transportation,Marine,Beijing,People's Republic of China,FALSE
cma,CMA CGM Group,Transportation,Marine,Marseille,France,FALSE
hlag.de,Hapag-Lloyd,Transportation,Marine,Hamburg,Germany,TRUE
one,ONE (Ocean Network Express),Transportation,Marine,Singapore,Singapore,FALSE
2603.TW,Evergreen Marine Corporation,Transportation,Marine,Taoyuan City,Taiwan,TRUE
2609.TW,Yang Ming Marine Transport Corporation,Transportation,Marine,Keelung City,Taiwan,TRUE
pil,PIL (Pacific International Lines),Transportation,Marine,Singapore,Singapore,FALSE
011200.KS,Hyundai Merchant Transportation,Transportation,Marine,Seoul,South Korea,TRUE
zim,ZIM Integrated Shipping Services,Transportation,Marine,Haifa,Israel,FALSE
2615.TW,Wan Hai Lines,Transportation,Marine,Taipei,Taiwan,TRUE
fro,Frontline,Transportation,Marine,Hamilton,Bermuda,TRUE
nat,Nordic American Tankers Limited,Transportation,Marine,Hamilton,Bermuda,TRUE
sfl,SFL Corporation Ltd,Transportation,Marine,Hamilton,Bermuda,TRUE
dsc,Diana Shipping Inc.,Transportation,Marine,Athens,Greece,TRUE
tk,Teekay Corporation,Transportation,Marine,Hamilton,Bermuda,TRUE
tnp,Tsakos Energy Navigation Ltd,Transportation,Marine,Athens,Greece,TRUE
osg,Overseas Shipholding Group Inc,Transportation,Marine,Tampa,United States,TRUE
AEM.TO,Agnico Eagle Mines Limited,Basic Materials,Basic Materials,Toronto,Canada,TSX
AQN.TO,Algonquin Power & Utilities Corp.,Utilities,Utilities,Toronto,Canada,TSX
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Defensive,Consumer Defensive,Toronto,Canada,TSX
BCE.TO,BCE Inc.,Communication Services,Communication Services,Toronto,Canada,TSX
BMO.TO,Bank of Montreal,Financial Services,Banks,Toronto,Canada,TSX
BNS.TO,Bank of Nova Scotia,Financial Services,Banks,Toronto,Canada,TSX
ABX.TO,Barrick Gold Corporation,Basic Materials,Basic Materials,Toronto,Canada,TSX
BAM.A.TO,Brookfield Asset Management Inc.,Financial Services,Financial Services,Toronto,Canada,TSX
BIP-UN.TO,Brookfield Infrastructure Partners L.P.,Utilities,Utilities,Toronto,Canada,TSX
CAE.TO,CAE Inc.,Industrials,Industrials,Toronto,Canada,TSX
CNR.TO,Canadian National Railway Company,Industrials,Industrials,Toronto,Canada,TSX
CCO.TO,Cameco Corporation,Basic Materials,Basic Materials,Toronto,Canada,TSX
CAR-UN.TO,Canadian Apartment Properties Real Estate Investment Trust,Real Estate,Real Estate,Toronto,Canada,TSX
CM.TO,Canadian Imperial Bank of Commerce,Financial Services,Banks,Toronto,Canada,TSX
CNR.TO,Canadian National Railway Company,Industrials,Industrials,Toronto,Canada,TSX
CNQ.TO,Canadian Natural Resources Limited,Energy,Energy,Toronto,Canada,TSX
CP.TO,Canadian Pacific Railway Limited,Industrials,Industrials,Toronto,Canada,TSX
CTC-A.TO,Canadian Tire Corporation Limited,Consumer Cyclical,Consumer Cyclical,Toronto,Canada,TSX
CCL-B.TO,CCL Industries Inc.,Consumer Cyclical,Consumer Cyclical,Toronto,Canada,TSX
CVE.TO,Cenovus Energy Inc.,Energy,Energy,Toronto,Canada,TSX
GIB-A.TO,CGI Inc.,Technology,Technology,Toronto,Canada,TSX
CSU.TO,Constellation Software Inc.,Technology,Technology,Toronto,Canada,TSX
DOL.TO,Dollarama Inc.,Consumer Defensive,Consumer Defensive,Toronto,Canada,TSX
EMA.TO,Emera Incorporated,Utilities,Utilities,Toronto,Canada,TSX
ENB.TO,Enbridge Inc.,Energy,Energy,Toronto,Canada,TSX
FM.TO,First Quantum Minerals Ltd.,Basic Materials,Basic Materials,Toronto,Canada,TSX
FSV.TO,FirstService Corporation,Real Estate,Real Estate,Toronto,Canada,TSX
FTS.TO,Fortis Inc.,Utilities,Utilities,Toronto,Canada,TSX
FNV.TO,Franco-Nevada Corporation,Basic Materials,Basic Materials,Toronto,Canada,TSX
WN.TO,George Weston Limited,Consumer Defensive,Consumer Defensive,Toronto,Canada,TSX
GIL.TO,Gildan Activewear Inc.,Consumer Cyclical,Consumer Cyclical,Toronto,Canada,TSX
IMO.TO,Imperial Oil Limited,Energy,Energy,Toronto,Canada,TSX
IFC.To,Intact Financial Corporation,Financial Services,Financial Services,Toronto,Canada,TSX
H.TO,Hydro One Limited,Utilities,Utilities,Toronto,Canada,TSX
K.TO,Kinross Gold Corporation,Basic Materials,Basic Materials,Toronto,Canada,TSX
L.TO,Loblaw Companies Limited,Consumer Defensive,Consumer Defensive,Toronto,Canada,TSX
MG.TO,Magna International Inc.,Consumer Cyclical,Consumer Cyclical,Toronto,Canada,TSX
MFC.TO,Manulife Financial Corporation,Financial Services,Financial Services,Toronto,Canada,TSX
MRU.TO,Metro Inc.,Consumer Defensive,Consumer Defensive,Toronto,Canada,TSX
NA.TO,National Bank of Canada,Financial Services,Banks,Toronto,Canada,TSX
NTR.TO,Nutrien Ltd.,Basic Materials,Basic Materials,Toronto,Canada,TSX
OTEX.TO,Open Text Corporation,Technology,Technology,Toronto,Canada,TSX
PPL.TO,Pembina Pipeline Corporation,Energy,Energy,Toronto,Canada,TSX
POW.TO,Power Corporation of Canada,Financial Services,Financial Services,Toronto,Canada,TSX
QSR.TO,Restaurant Brands International Inc.,Consumer Cyclical,Consumer Cyclical,Toronto,Canada,TSX
RCI-B.TO,Rogers Communications Inc.,Communication Services,Communication Services,Toronto,Canada,TSX
