measure,ticker,startdate,enddate,amount
Revenue,maersk,2019-09-17,2019-09-17,USD,9600000000
Employees,maersk,2019-09-17,2019-09-17,count,76000
TEU,maersk,2019-09-17,2019-09-17,count,4176517
TEU,msc,2019-09-17,2019-09-17,count,3657272
Revenue,msc,2019-09-17,2019-09-17,USD,28190000000
Employees,msc,2019-09-17,2019-09-17,count,70000
TEU,cosco,2019-09-17,2019-09-17,count,2966582
Revenue,cosco,2019-09-17,2019-09-17,RMB,72500000000
Employees,cosco,2019-09-17,2019-09-17,count,130000
TEU,cma,2019-09-17,2019-09-17,count,2696710
Revenue,cma,2019-09-17,2019-09-17,USD,23480000000
Employees,cma,2019-09-17,2019-09-17,count,110000
TEU,hlag.de,2019-09-17,2019-09-17,count,1688396
Revenue,hlag.de,2019-09-17,2019-09-17,EUR,115B0000000
Employees,hlag.de,2019-09-17,2019-09-17,count,12900
TEU,one,2019-09-17,2019-09-17,count,1579868
Revenue,one,2019-09-17,2019-09-17,USD,2870000000
Employees,one,2019-09-17,2019-09-17,count,14000
TEU,2603.TW,2019-09-17,2019-09-17,count,1303420
Revenue,2603.TW,2019-09-17,2019-09-17,NTD,124470000000
Employees,2603.TW,2019-09-17,2019-09-17,count,10000
TEU,2609.TW,2019-09-17,2019-09-17,count,644185
Revenue,2609.TW,2019-09-17,2019-09-17,NTD,141850000000
Employees,2609.TW,2019-09-17,2019-09-17,count,5393
TEU,pil,2019-09-17,2019-09-17,count,393498
Revenue,pil,2019-09-17,2019-09-17,USD,4040000000
Employees,pil,2019-09-17,2019-09-17,count,18000
TEU,hmm,2019-09-17,2019-09-17,count,392314
Revenue,hmm,2019-09-17,2019-09-17,USD,4600000000
Employees,hmm,2019-09-17,2019-09-17,count,5000
TEU,zim,2019-09-17,2019-09-17,count,282743
Revenue,zim,2019-09-17,2019-09-17,USD,330000000
Employees,zim,2019-09-17,2019-09-17,count,4200
TEU,wanhai,2019-09-17,2019-09-17,count,265008
Revenue,wanhai,2019-09-17,2019-09-17,TWD,71600000000
Employees,wanhai,2019-09-17,2019-09-17,count,3940


